MD;UpscaledThinLayerRemoval;INSPHASE;AMPCONS;RMS;RAI;FLAT;SWT
5394.6552;1;39.42998886;0.228866905;22829.52539;11578.10645;0.0242831;30147.12109
5394.8076;1;35.47855377;0.22889173;22816.95508;11053.24316;0.024928849;29950.95703
5394.96;1;31.25430107;0.228916556;22804.38477;10528.37988;0.0255746;29754.79102
5395.1124;1;26.04244804;0.228926763;22840.88672;10200.61035;0.026535289;29565.10742
5395.2648;1;20.01214027;0.228931785;22894.85352;9942.981445;0.027608059;29377.73047
5395.4172;1;13.98183155;0.228936806;22948.82031;9685.351563;0.02868082;29190.35352
5395.5696;1;7.951523781;0.228941813;23002.78711;9427.72168;0.02975359;29002.97656
5395.722;1;1.921216011;0.228946835;23056.75391;9170.092773;0.030826351;28815.59766
5395.8744;1;-4.109091759;0.228951857;23110.7207;8912.462891;0.031899121;28628.2207
5396.0268;1;-10.13939953;0.228956863;23164.6875;8654.833984;0.032971881;28440.84375
5396.1792;1;-16.16970825;0.228961885;23218.6543;8397.204102;0.03404465;28253.4668
5396.3316;1;-22.20001411;0.228966907;23272.62109;8139.575195;0.03511741;28066.08984
5396.484;1;-28.23032188;0.228971914;23326.58789;7881.945313;0.036190178;27878.71094
5396.6364;1;-34.26063156;0.228976935;23380.55469;7624.315918;0.037262939;27691.33398
5396.7888;1;-40.29093933;0.228981957;23434.51953;7366.686523;0.038335711;27503.95703
5396.9412;1;-46.3212471;0.228986964;23488.48633;7109.057129;0.039408471;27316.58008
5397.0936;1;-52.35155487;0.228991985;23542.45313;6851.427734;0.04048124;27129.20313
5397.246;1;-58.38186264;0.228997007;23596.41992;6593.79834;0.041554;26941.82617
5397.3984;1;-64.41217041;0.229002014;23650.38672;6336.168945;0.042626768;26754.44727
5397.5508;1;-70.44247437;0.229007036;23704.35352;6078.539551;0.043699529;26567.07031
5397.7032;1;-76.47278595;0.229012057;23758.32031;5820.910156;0.044772301;26379.69336
5397.8556;1;-82.50309753;0.229017064;23812.28711;5563.280762;0.045845069;26192.31641
5398.008;1;-88.53340149;0.229022086;23866.25391;5305.651367;0.04691783;26004.93945
5398.1604;1;-94.56370544;0.229027107;23920.2207;5048.021973;0.04799059;25817.56055
5398.3128;1;-100.594017;0.229032114;23974.18555;4790.39209;0.049063359;25630.18359
5398.4652;1;-106.6243286;0.229037136;24028.15234;4532.762695;0.050136119;25442.80664
5398.6176;1;-112.6546326;0.229042158;24082.11914;4275.133301;0.051208891;25255.42969
5398.77;1;-118.6849442;0.229047164;24136.08594;4017.503906;0.052281659;25068.05273
5398.9224;1;-124.7152481;0.229052186;24190.05273;3759.874512;0.05335442;24880.67578
5399.0748;1;-130.7455597;0.229057208;24244.01953;3502.245117;0.05442718;24693.29688
5399.2272;1;-136.7758636;0.229062215;24297.98633;3244.615723;0.055499949;24505.91992
5399.3796;1;-142.8061676;0.229067236;24351.95313;2986.986328;0.05657272;24318.54297
5399.532;1;-148.8364868;0.229072258;24405.91992;2729.35669;0.057645481;24131.16602
5399.6844;1;-154.8667908;0.229077265;24459.88672;2471.727295;0.058718249;23943.78906
